t,pe,ke,te,q1,q2
2.890000,-1.174145,1.174145,-0.000000,0.648840,-8.366036
2.900000,-1.100286,1.100286,-0.000000,0.735893,-8.426151
2.910000,-1.022140,1.022140,-0.000000,0.819713,-8.481187
2.920000,-0.941420,0.941420,-0.000000,0.899993,-8.531044
2.930000,-0.859756,0.859756,-0.000000,0.976459,-8.575651
2.940000,-0.778652,0.778652,-0.000000,1.048873,-8.614959
2.950000,-0.699451,0.699451,-0.000000,1.117029,-8.648940
2.960000,-0.623325,0.623325,-0.000000,1.180753,-8.677581
2.970000,-0.551261,0.551261,-0.000000,1.239902,-8.700886
2.980000,-0.484071,0.484071,-0.000000,1.294357,-8.718867
2.990000,-0.422398,0.422398,-0.000000,1.344025,-8.731545
3.000000,-0.366740,0.366740,-0.000000,1.388833,-8.738950
3.010000,-0.317463,0.317463,-0.000000,1.428723,-8.741111
3.020000,-0.274828,0.274828,-0.000000,1.463653,-8.738065
3.030000,-0.239010,0.239010,-0.000000,1.493592,-8.729845
3.040000,-0.210118,0.210118,-0.000000,1.518517,-8.716485
3.050000,-0.188215,0.188215,-0.000000,1.538410,-8.698016
3.060000,-0.173332,0.173332,-0.000000,1.553260,-8.674462
3.070000,-0.165482,0.165482,-0.000000,1.563056,-8.645845
3.080000,-0.164667,0.164667,-0.000000,1.567792,-8.612177
3.090000,-0.170888,0.170888,-0.000000,1.567460,-8.573460
3.100000,-0.184144,0.184144,-0.000000,1.562056,-8.529689
3.110000,-0.204436,0.204436,-0.000000,1.551574,-8.480845
3.120000,-0.231757,0.231757,-0.000000,1.536011,-8.426897
3.130000,-0.266094,0.266094,-0.000000,1.515366,-8.367802
3.140000,-0.307409,0.307409,-0.000000,1.489639,-8.303501
3.150000,-0.355630,0.355630,-0.000000,1.458833,-8.233921
3.160000,-0.410635,0.410635,-0.000000,1.422959,-8.158979
3.170000,-0.472230,0.472230,-0.000000,1.382031,-8.078574
3.180000,-0.540130,0.540130,-0.000000,1.336072,-7.992599
3.190000,-0.613936,0.613936,-0.000000,1.285115,-7.900941
3.200000,-0.693106,0.693106,-0.000000,1.229203,-7.803483
3.210000,-0.776935,0.776935,-0.000000,1.168396,-7.700118
3.220000,-0.864532,0.864532,-0.000000,1.102771,-7.590758
3.230000,-0.954796,0.954796,-0.000000,1.032428,-7.475343
3.240000,-1.046408,1.046408,-0.000000,0.957496,-7.353866
3.250000,-1.137824,1.137824,-0.000000,0.878141,-7.226389
3.260000,-1.227290,1.227290,-0.000000,0.794573,-7.093070
3.270000,-1.312867,1.312867,-0.000000,0.707056,-6.954188
3.280000,-1.392487,1.392487,-0.000000,0.615916,-6.810163
3.290000,-1.464035,1.464035,-0.000000,0.521550,-6.661583
3.300000,-1.525453,1.525453,-0.000000,0.424426,-6.509201
3.310000,-1.574860,1.574860,-0.000000,0.325081,-6.353929
3.320000,-1.610688,1.610688,-0.000000,0.224106,-6.196809
3.330000,-1.631790,1.631790,-0.000000,0.122127,-6.038965
3.340000,-1.637521,1.637521,-0.000000,0.019783,-5.881538
3.350000,-1.627776,1.627776,-0.000000,-0.082302,-5.725634
3.360000,-1.602973,1.602973,-0.000000,-0.183538,-5.572261
3.370000,-1.563999,1.563999,-0.000000,-0.283383,-5.422295
3.380000,-1.512126,1.512126,-0.000000,-0.381354,-5.276462
3.390000,-1.448913,1.448913,-0.000000,-0.477024,-5.135330
3.400000,-1.376110,1.376110,-0.000000,-0.570016,-4.999322
3.410000,-1.295570,1.295570,-0.000000,-0.660004,-4.868733
3.420000,-1.209168,1.209168,-0.000000,-0.746698,-4.743750
3.430000,-1.118743,1.118743,-0.000000,-0.829842,-4.624477
3.440000,-1.026043,1.026043,-0.000000,-0.909210,-4.510951
3.450000,-0.932689,0.932689,-0.000000,-0.984601,-4.403160
3.460000,-0.840147,0.840147,-0.000000,-1.055838,-4.301061
3.470000,-0.749713,0.749713,-0.000000,-1.122764,-4.204587
3.480000,-0.662504,0.662504,-0.000000,-1.185245,-4.113660
3.490000,-0.579463,0.579463,-0.000000,-1.243166,-4.028195
3.500000,-0.501359,0.501359,-0.000000,-1.296432,-3.948110
3.510000,-0.428807,0.428807,-0.000000,-1.344963,-3.873323
3.520000,-0.362282,0.362282,-0.000000,-1.388700,-3.803761
3.530000,-0.302138,0.302138,-0.000000,-1.427595,-3.739358
3.540000,-0.248627,0.248627,-0.000000,-1.461613,-3.680057
3.550000,-0.201921,0.201921,-0.000000,-1.490732,-3.625809
3.560000,-0.162130,0.162130,-0.000000,-1.514934,-3.576576
3.570000,-0.129320,0.129320,-0.000000,-1.534212,-3.532325
